EP, 09, 2021072600, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 013, 
EP, 09, 2021072600, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 013, 
EP, 09, 2021072600, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 013, 
EP, 09, 2021072606, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 013, 
EP, 09, 2021072606, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 013, 
EP, 09, 2021072606, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 013, 
EP, 09, 2021072612, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072612, GN, OFCL, 120,     ,      ,  10,  120, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072612, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072618, GN, OFCL,  48,     ,      ,  10,   48, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072618, GN, OFCL, 120,     ,      ,  20,  120, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072618, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL,  48,     ,      ,  20,   48, PPP, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021072700, ep992021,  1, 013, 
EP, 09, 2021072700, RI, RIOB,  48, 131N, 1155W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072700, RI, RIOB,  72, 131N, 1155W,   0,  65,  85,    ,            0,           72, 
EP, 09, 2021072700, RI, RIOC,  12, 131N, 1155W,   1,  20,  40,    ,            0,           12, 
EP, 09, 2021072700, RI, RIOC,  24, 131N, 1155W,   7,  25,  45,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOC,  24, 131N, 1155W,   4,  30,  50,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOC,  24, 131N, 1155W,   2,  35,  55,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOC,  24, 131N, 1155W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOC,  36, 131N, 1155W,   1,  45,  65,    ,            0,           36, 
EP, 09, 2021072700, RI, RIOC,  48, 131N, 1155W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072700, RI, RIOC,  72, 131N, 1155W,   1,  65,  85,    ,            0,           72, 
EP, 09, 2021072700, RI, RIOD,  12, 131N, 1155W,   0,  20,  40,    ,            0,           12, 
EP, 09, 2021072700, RI, RIOD,  24, 131N, 1155W,   0,  25,  45,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOD,  24, 131N, 1155W,   0,  30,  50,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOD,  24, 131N, 1155W,   0,  35,  55,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOD,  24, 131N, 1155W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOD,  36, 131N, 1155W,   0,  45,  65,    ,            0,           36, 
EP, 09, 2021072700, RI, RIOD,  48, 131N, 1155W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072700, RI, RIOD,  72, 131N, 1155W,   0,  65,  85,    ,            0,           72, 
EP, 09, 2021072700, RI, RIOL,  12, 131N, 1155W,   3,  20,  40,    ,            0,           12, 
EP, 09, 2021072700, RI, RIOL,  24, 131N, 1155W,  19,  25,  45,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOL,  24, 131N, 1155W,  13,  30,  50,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOL,  24, 131N, 1155W,   5,  35,  55,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOL,  24, 131N, 1155W,   1,  40,  60,    ,            0,           24, 
EP, 09, 2021072700, RI, RIOL,  36, 131N, 1155W,   3,  45,  65,    ,            0,           36, 
EP, 09, 2021072700, RI, RIOL,  48, 131N, 1155W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072700, RI, RIOL,  72, 131N, 1155W,   3,  65,  85,    ,            0,           72, 
EP, 09, 2021072706, IN, IVCN,  12,     ,      ,  68,  21,   ,    5, 
EP, 09, 2021072706, IN, IVCN,  24,     ,      ,  68,  22,   ,    7, 
EP, 09, 2021072706, IN, IVCN,  36,     ,      ,  68,  23,   ,    9, 
EP, 09, 2021072706, IN, IVCN,  48,     ,      ,  68,  25,   ,   10, 
EP, 09, 2021072706, IN, IVCN,  60,     ,      ,  68,  26,   ,   11, 
EP, 09, 2021072706, IN, IVCN,  72,     ,      ,  68,  28,   ,   13, 
EP, 09, 2021072706, IN, IVCN,  96,     ,      ,  68,  32,   ,    9, 
EP, 09, 2021072706, IN, IVCN, 120,     ,      ,  68,  34,   ,   11, 
EP, 09, 2021072706, RI, DTPE,  12, 130N, 1162W,   0,  20,  40,    ,            0,           12, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  25,  45,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  30,  50,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  35,  55,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  36, 130N, 1162W,   0,  45,  65,    ,            0,           36, 
EP, 09, 2021072706, RI, DTPE,  48, 130N, 1162W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072706, RI, DTPE,  72, 130N, 1162W,   0,  65,  85,    ,            0,           72, 
EP, 09, 2021072706, RI, DTPE,  12, 130N, 1162W,   0,  20,  40,    ,            0,           12, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  25,  45,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  30,  50,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  35,  55,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  24, 130N, 1162W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072706, RI, DTPE,  36, 130N, 1162W,   0,  45,  65,    ,            0,           36, 
EP, 09, 2021072706, RI, DTPE,  48, 130N, 1162W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072706, RI, DTPE,  72, 130N, 1162W,   0,  65,  85,    ,            0,           72, 
EP, 09, 2021072706, RI, RIOB,  12, 130N, 1162W,   0,  20,  40,    ,            0,           12, 
EP, 09, 2021072706, RI, RIOB,  24, 130N, 1162W,   0,  25,  45,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOB,  24, 130N, 1162W,   0,  30,  50,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOB,  24, 130N, 1162W,   0,  35,  55,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOB,  24, 130N, 1162W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOB,  36, 130N, 1162W,   0,  45,  65,    ,            0,           36, 
EP, 09, 2021072706, RI, RIOB,  48, 130N, 1162W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072706, RI, RIOB,  72, 130N, 1162W,   0,  65,  85,    ,            0,           72, 
EP, 09, 2021072706, RI, RIOC,  12, 130N, 1162W,   1,  20,  40,    ,            0,           12, 
EP, 09, 2021072706, RI, RIOC,  24, 130N, 1162W,   6,  25,  45,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOC,  24, 130N, 1162W,   4,  30,  50,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOC,  24, 130N, 1162W,   2,  35,  55,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOC,  24, 130N, 1162W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOC,  36, 130N, 1162W,   1,  45,  65,    ,            0,           36, 
EP, 09, 2021072706, RI, RIOC,  48, 130N, 1162W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072706, RI, RIOC,  72, 130N, 1162W,   1,  65,  85,    ,            0,           72, 
EP, 09, 2021072706, RI, RIOD,  12, 130N, 1162W,   0,  20,  40,    ,            0,           12, 
EP, 09, 2021072706, RI, RIOD,  24, 130N, 1162W,   0,  25,  45,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOD,  24, 130N, 1162W,   0,  30,  50,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOD,  24, 130N, 1162W,   0,  35,  55,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOD,  24, 130N, 1162W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOD,  36, 130N, 1162W,   0,  45,  65,    ,            0,           36, 
EP, 09, 2021072706, RI, RIOD,  48, 130N, 1162W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072706, RI, RIOD,  72, 130N, 1162W,   0,  65,  85,    ,            0,           72, 
EP, 09, 2021072706, RI, RIOL,  12, 130N, 1162W,   3,  20,  40,    ,            0,           12, 
EP, 09, 2021072706, RI, RIOL,  24, 130N, 1162W,  18,  25,  45,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOL,  24, 130N, 1162W,  13,  30,  50,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOL,  24, 130N, 1162W,   5,  35,  55,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOL,  24, 130N, 1162W,   1,  40,  60,    ,            0,           24, 
EP, 09, 2021072706, RI, RIOL,  36, 130N, 1162W,   4,  45,  65,    ,            0,           36, 
EP, 09, 2021072706, RI, RIOL,  48, 130N, 1162W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072706, RI, RIOL,  72, 130N, 1162W,   2,  65,  85,    ,            0,           72, 
EP, 09, 2021072706, TR, GPCC,  12, 132N, 1170W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC,  24, 137N, 1180W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC,  36, 140N, 1194W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC,  48, 141N, 1211W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC,  60, 140N, 1227W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC,  72, 140N, 1242W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC,  96, 138N, 1273W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC, 120, 137N, 1306W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, GPCC, 144, 147N, 1347W,  68,  186,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN,  12, 132N, 1170W,  68,   25,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN,  24, 137N, 1180W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN,  36, 140N, 1194W,  68,   50,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN,  48, 141N, 1211W,  68,   61,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN,  60, 140N, 1227W,  68,   74,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN,  72, 140N, 1242W,  68,   74,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN,  96, 138N, 1273W,  68,   96,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN, 120, 137N, 1306W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, TR, TVCN, 144, 147N, 1347W,  68,  217,   ,   0,    ,    0,    0,    0,    0, 
EP, 09, 2021072706, WR, RVCN,   0, 130N, 1162W,  68,   0, 34,    0, 
EP, 09, 2021072706, WR, RVCN,  12, 131N, 1171W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN,  24, 135N, 1181W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN,  36, 139N, 1193W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN,  48, 139N, 1210W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN,  60, 138N, 1227W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN,  72, 137N, 1241W,  68,  30, 34,   25, 
EP, 09, 2021072706, WR, RVCN,  84, 137N, 1255W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN,  96, 134N, 1270W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN, 108, 132N, 1282W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN, 120, 133N, 1295W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN, 132, 134N, 1312W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN, 144, 148N, 1313W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN, 156, 148N, 1334W,  68,   0, 34,    5, 
EP, 09, 2021072706, WR, RVCN, 168, 146N, 1352W,  68,   0, 34,    5, 
EP, 09, 2021072712, IN, ICON,  12,     ,      ,  68,  22,   ,    5, 
EP, 09, 2021072712, IN, ICON,  24,     ,      ,  68,  23,   ,    7, 
EP, 09, 2021072712, IN, ICON,  36,     ,      ,  68,  24,   ,    9, 
EP, 09, 2021072712, IN, ICON,  48,     ,      ,  68,  26,   ,   10, 
EP, 09, 2021072712, IN, ICON,  60,     ,      ,  68,  27,   ,   11, 
EP, 09, 2021072712, IN, ICON,  72,     ,      ,  68,  29,   ,   13, 
EP, 09, 2021072712, IN, IVCN,  12,     ,      ,  68,  23,   ,    5, 
EP, 09, 2021072712, IN, IVCN,  24,     ,      ,  68,  24,   ,    7, 
EP, 09, 2021072712, IN, IVCN,  36,     ,      ,  68,  26,   ,    9, 
EP, 09, 2021072712, IN, IVCN,  48,     ,      ,  68,  28,   ,   11, 
EP, 09, 2021072712, IN, IVCN,  60,     ,      ,  68,  29,   ,   11, 
