AL, 02, 2021061400, RI, RIOD,  24, 323N,  771W,   0,  30,  50,    ,            0,           24, 
AL, 02, 2021061400, RI, RIOD,  24, 323N,  771W,   0,  35,  55,    ,            0,           24, 
AL, 02, 2021061400, RI, RIOD,  24, 323N,  771W,   0,  40,  60,    ,            0,           24, 
AL, 02, 2021061400, RI, RIOD,  36, 323N,  771W,   0,  45,  65,    ,            0,           36, 
AL, 02, 2021061400, RI, RIOD,  48, 323N,  771W,   0,  55,  75,    ,            0,           48, 
AL, 02, 2021061400, RI, RIOD,  72, 323N,  771W,   0,  65,  85,    ,            0,           72, 
AL, 02, 2021061400, RI, RIOL,  12, 323N,  771W,   1,  20,  40,    ,            0,           12, 
AL, 02, 2021061400, RI, RIOL,  24, 323N,  771W,   3,  25,  45,    ,            0,           24, 
AL, 02, 2021061400, RI, RIOL,  24, 323N,  771W,   2,  30,  50,    ,            0,           24, 
AL, 02, 2021061400, RI, RIOL,  24, 323N,  771W,   0,  35,  55,    ,            0,           24, 
AL, 02, 2021061400, RI, RIOL,  24, 323N,  771W,   0,  40,  60,    ,            0,           24, 
AL, 02, 2021061400, RI, RIOL,  36, 323N,  771W,   0,  45,  65,    ,            0,           36, 
AL, 02, 2021061400, RI, RIOL,  48, 323N,  771W,   0,  55,  75,    ,            0,           48, 
AL, 02, 2021061400, RI, RIOL,  72, 323N,  771W,   0,  65,  85,    ,            0,           72, 
AL, 02, 2021061406, IN, IVCN,  12,     ,      ,  68,  30,   ,    4, 
AL, 02, 2021061406, IN, IVCN,  24,     ,      ,  68,  34,   ,    6, 
AL, 02, 2021061406, IN, IVCN,  36,     ,      ,  68,  38,   ,    8, 
AL, 02, 2021061406, IN, IVCN,  48,     ,      ,  68,  39,   ,   11, 
AL, 02, 2021061406, IN, IVCN,  60,     ,      ,  68,  37,   ,   12, 
AL, 02, 2021061406, IN, IVCN,  72,     ,      ,  68,  33,   ,   12, 
AL, 02, 2021061406, RI, DTPE,  12, 327N,  761W,   0,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, DTPE,  24, 327N,  761W,   0,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, DTPE,  24, 327N,  761W,   0,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, DTPE,  24, 327N,  761W,   0,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, DTPE,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, DTPE,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, DTPE,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, DTPE,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, EIOB,  12, 327N,  761W,   1,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, EIOB,  24, 327N,  761W,   0,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOB,  24, 327N,  761W,   0,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOB,  24, 327N,  761W,   0,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOB,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOB,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, EIOB,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, EIOB,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, EIOC,  12, 327N,  761W,   1,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, EIOC,  24, 327N,  761W,   3,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOC,  24, 327N,  761W,   2,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOC,  24, 327N,  761W,   2,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOC,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOC,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, EIOC,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, EIOC,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, EIOD,  12, 327N,  761W,   2,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, EIOD,  24, 327N,  761W,   6,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOD,  24, 327N,  761W,   5,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOD,  24, 327N,  761W,   4,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOD,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOD,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, EIOD,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, EIOD,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, EIOL,  12, 327N,  761W,   1,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, EIOL,  24, 327N,  761W,   2,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOL,  24, 327N,  761W,   1,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOL,  24, 327N,  761W,   0,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOL,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, EIOL,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, EIOL,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, EIOL,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, RIOB,  12, 327N,  761W,   1,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, RIOB,  24, 327N,  761W,   0,  25,  50,    ,            0,           24, 
