AL, 08, 2021081500, RI, RIOC,  24, 360N,  635W,   8,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOC,  24, 360N,  635W,   5,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOC,  24, 360N,  635W,   1,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOC,  24, 360N,  635W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOC,  36, 360N,  635W,   3,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, RIOC,  48, 360N,  635W,   4,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, RIOC,  72, 360N,  635W,   3,  65,  90,    ,            0,           72, 
AL, 08, 2021081500, RI, RIOD,  12, 360N,  635W,   3,  20,  45,    ,            0,           12, 
AL, 08, 2021081500, RI, RIOD,  24, 360N,  635W,   9,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOD,  24, 360N,  635W,   6,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOD,  24, 360N,  635W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOD,  24, 360N,  635W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOD,  36, 360N,  635W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, RIOD,  48, 360N,  635W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, RIOD,  72, 360N,  635W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081500, RI, RIOL,  12, 360N,  635W,   4,  20,  45,    ,            0,           12, 
AL, 08, 2021081500, RI, RIOL,  24, 360N,  635W,  16,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOL,  24, 360N,  635W,  10,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOL,  24, 360N,  635W,   3,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOL,  24, 360N,  635W,   1,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOL,  36, 360N,  635W,   7,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, RIOL,  48, 360N,  635W,  11,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, RIOL,  72, 360N,  635W,  10,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, IN, ICON,  12,     ,      ,  68,  28,   ,    4, 
AL, 08, 2021081506, IN, ICON,  24,     ,      ,  68,  32,   ,    6, 
AL, 08, 2021081506, IN, ICON,  36,     ,      ,  68,  38,   ,    8, 
AL, 08, 2021081506, IN, ICON,  48,     ,      ,  68,  43,   ,   12, 
AL, 08, 2021081506, IN, ICON,  60,     ,      ,  68,  47,   ,   15, 
AL, 08, 2021081506, IN, ICON,  72,     ,      ,  68,  49,   ,   22, 
AL, 08, 2021081506, IN, ICON,  96,     ,      ,  68,  46,   ,   24, 
AL, 08, 2021081506, IN, ICON, 120,     ,      ,  68,  41,   ,   22, 
AL, 08, 2021081506, IN, IVCN,  12,     ,      ,  68,  28,   ,    4, 
AL, 08, 2021081506, IN, IVCN,  24,     ,      ,  68,  32,   ,    6, 
AL, 08, 2021081506, IN, IVCN,  36,     ,      ,  68,  38,   ,    8, 
AL, 08, 2021081506, IN, IVCN,  48,     ,      ,  68,  43,   ,   12, 
AL, 08, 2021081506, IN, IVCN,  60,     ,      ,  68,  47,   ,   15, 
AL, 08, 2021081506, IN, IVCN,  72,     ,      ,  68,  49,   ,   22, 
AL, 08, 2021081506, IN, IVCN,  96,     ,      ,  68,  46,   ,   24, 
AL, 08, 2021081506, IN, IVCN, 120,     ,      ,  68,  41,   ,   22, 
AL, 08, 2021081506, RI, DTOP,  12, 356N,  630W,   0,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, DTOP,  24, 356N,  630W,   0,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, DTOP,  24, 356N,  630W,   0,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, DTOP,  24, 356N,  630W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, DTOP,  24, 356N,  630W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, DTOP,  36, 356N,  630W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, DTOP,  48, 356N,  630W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, DTOP,  72, 356N,  630W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, DTPE,  12, 356N,  630W,   0,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, DTPE,  24, 356N,  630W,   0,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, DTPE,  24, 356N,  630W,   0,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, DTPE,  24, 356N,  630W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, DTPE,  24, 356N,  630W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, DTPE,  36, 356N,  630W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, DTPE,  48, 356N,  630W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, DTPE,  72, 356N,  630W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, EIOB,  12, 356N,  630W,   0,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, EIOB,  24, 356N,  630W,   0,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOB,  24, 356N,  630W,   0,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOB,  24, 356N,  630W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOB,  24, 356N,  630W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOB,  36, 356N,  630W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, EIOB,  48, 356N,  630W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, EIOB,  72, 356N,  630W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, EIOC,  12, 356N,  630W,   2,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, EIOC,  24, 356N,  630W,   7,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOC,  24, 356N,  630W,   4,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOC,  24, 356N,  630W,   1,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOC,  24, 356N,  630W,   1,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOC,  36, 356N,  630W,   4,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, EIOC,  48, 356N,  630W,   3,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, EIOC,  72, 356N,  630W,   9,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, EIOD,  12, 356N,  630W,   3,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, EIOD,  24, 356N,  630W,   8,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOD,  24, 356N,  630W,   6,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOD,  24, 356N,  630W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOD,  24, 356N,  630W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOD,  36, 356N,  630W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, EIOD,  48, 356N,  630W,   0,  55,  80,    ,            0,           48, 
