AL, 15, 2021091418, RI, DTPE,  12, 253N,  710W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, DTPE,  24, 253N,  710W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, DTPE,  24, 253N,  710W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, DTPE,  24, 253N,  710W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, DTPE,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, DTPE,  36, 253N,  710W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, DTPE,  48, 253N,  710W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, DTPE,  72, 253N,  710W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, EIOB,  12, 253N,  710W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, EIOB,  24, 253N,  710W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOB,  24, 253N,  710W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOB,  24, 253N,  710W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOB,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOB,  36, 253N,  710W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, EIOB,  48, 253N,  710W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, EIOB,  72, 253N,  710W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, EIOC,  12, 253N,  710W,   1,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, EIOC,  24, 253N,  710W,   4,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOC,  24, 253N,  710W,   2,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOC,  24, 253N,  710W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOC,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOC,  36, 253N,  710W,   1,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, EIOC,  48, 253N,  710W,   3,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, EIOC,  72, 253N,  710W,   4,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, EIOD,  12, 253N,  710W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, EIOD,  24, 253N,  710W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOD,  24, 253N,  710W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOD,  24, 253N,  710W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOD,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOD,  36, 253N,  710W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, EIOD,  48, 253N,  710W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, EIOD,  72, 253N,  710W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, EIOL,  12, 253N,  710W,   2,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, EIOL,  24, 253N,  710W,  12,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOL,  24, 253N,  710W,   5,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOL,  24, 253N,  710W,   1,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOL,  24, 253N,  710W,   1,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, EIOL,  36, 253N,  710W,   3,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, EIOL,  48, 253N,  710W,   8,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, EIOL,  72, 253N,  710W,  13,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, RIOB,  12, 253N,  710W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, RIOB,  24, 253N,  710W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOB,  24, 253N,  710W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOB,  24, 253N,  710W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOB,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOB,  36, 253N,  710W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, RIOB,  48, 253N,  710W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, RIOB,  72, 253N,  710W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, RIOC,  12, 253N,  710W,   1,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, RIOC,  24, 253N,  710W,   3,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOC,  24, 253N,  710W,   2,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOC,  24, 253N,  710W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOC,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOC,  36, 253N,  710W,   1,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, RIOC,  48, 253N,  710W,   1,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, RIOC,  72, 253N,  710W,   1,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, RIOD,  12, 253N,  710W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, RIOD,  24, 253N,  710W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOD,  24, 253N,  710W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOD,  24, 253N,  710W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOD,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOD,  36, 253N,  710W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, RIOD,  48, 253N,  710W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, RIOD,  72, 253N,  710W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, RI, RIOL,  12, 253N,  710W,   2,  20,  40,    ,            0,           12, 
AL, 15, 2021091418, RI, RIOL,  24, 253N,  710W,  10,  25,  45,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOL,  24, 253N,  710W,   5,  30,  50,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOL,  24, 253N,  710W,   1,  35,  55,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOL,  24, 253N,  710W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091418, RI, RIOL,  36, 253N,  710W,   2,  45,  65,    ,            0,           36, 
AL, 15, 2021091418, RI, RIOL,  48, 253N,  710W,   4,  55,  75,    ,            0,           48, 
AL, 15, 2021091418, RI, RIOL,  72, 253N,  710W,   3,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, WR, RVCN,   0, 253N,  710W,  68,   0, 34,    0, 
AL, 15, 2021091418, WR, RVCN,  12, 269N,  716W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN,  24, 288N,  729W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN,  36, 312N,  738W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN,  48, 338N,  741W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN,  60, 354N,  735W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN,  72, 373N,  714W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN,  84, 394N,  689W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN,  96, 411N,  660W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN, 108, 436N,  611W,  68,   0, 34,    5, 
AL, 15, 2021091418, WR, RVCN, 120, 455N,  555W,  68, 105, 34,   37, 
AL, 15, 2021091418, WR, RVCN, 132, 474N,  487W,  68, 105, 34,   37, 
AL, 15, 2021091418, WR, RVCN, 144, 511N,  414W,  68, 300, 34,   30, 
AL, 15, 2021091418, WR, RVCN, 156, 548N,  340W,  68, 300, 34,   30, 
AL, 15, 2021091500, IN, ICON,  12,     ,      ,  68,  32,   ,    4, 
AL, 15, 2021091500, IN, ICON,  24,     ,      ,  68,  35,   ,    6, 
AL, 15, 2021091500, IN, ICON,  36,     ,      ,  68,  39,   ,    8, 
AL, 15, 2021091500, IN, ICON,  48,     ,      ,  68,  44,   ,   12, 
AL, 15, 2021091500, IN, ICON,  60,     ,      ,  68,  50,   ,   15, 
AL, 15, 2021091500, IN, ICON,  72,     ,      ,  68,  54,   ,   16, 
AL, 15, 2021091500, IN, ICON,  96,     ,      ,  68,  56,   ,   15, 
AL, 15, 2021091500, IN, ICON, 120,     ,      ,  68,  51,   ,   13, 
AL, 15, 2021091500, IN, IVCN,  12,     ,      ,  68,  32,   ,    4, 
AL, 15, 2021091500, IN, IVCN,  24,     ,      ,  68,  35,   ,    6, 
AL, 15, 2021091500, IN, IVCN,  36,     ,      ,  68,  39,   ,    8, 
AL, 15, 2021091500, IN, IVCN,  48,     ,      ,  68,  44,   ,   12, 
AL, 15, 2021091500, IN, IVCN,  60,     ,      ,  68,  50,   ,   15, 
AL, 15, 2021091500, IN, IVCN,  72,     ,      ,  68,  54,   ,   16, 
AL, 15, 2021091500, IN, IVCN,  96,     ,      ,  68,  56,   ,   15, 
AL, 15, 2021091500, IN, IVCN, 120,     ,      ,  68,  51,   ,   13, 
AL, 15, 2021091500, RI, DTOP,  12, 255N,  711W,   1,  20,  45,    ,            0,           12, 
AL, 15, 2021091500, RI, DTOP,  24, 255N,  711W,   1,  25,  50,    ,            0,           24, 
AL, 15, 2021091500, RI, DTOP,  24, 255N,  711W,   0,  30,  55,    ,            0,           24, 
AL, 15, 2021091500, RI, DTOP,  24, 255N,  711W,   0,  35,  60,    ,            0,           24, 
AL, 15, 2021091500, RI, DTOP,  24, 255N,  711W,   0,  40,  65,    ,            0,           24, 
AL, 15, 2021091500, RI, DTOP,  36, 255N,  711W,   0,  45,  70,    ,            0,           36, 
AL, 15, 2021091500, RI, DTOP,  48, 255N,  711W,   0,  55,  80,    ,            0,           48, 
AL, 15, 2021091500, RI, DTOP,  72, 255N,  711W,   0,  65,  90,    ,            0,           72, 
AL, 15, 2021091500, RI, DTPE,  12, 255N,  711W,   1,  20,  45,    ,            0,           12, 
AL, 15, 2021091500, RI, DTPE,  24, 255N,  711W,   1,  25,  50,    ,            0,           24, 
AL, 15, 2021091500, RI, DTPE,  24, 255N,  711W,   0,  30,  55,    ,            0,           24, 
AL, 15, 2021091500, RI, DTPE,  24, 255N,  711W,   0,  35,  60,    ,            0,           24, 
AL, 15, 2021091500, RI, DTPE,  24, 255N,  711W,   0,  40,  65,    ,            0,           24, 
AL, 15, 2021091500, RI, DTPE,  36, 255N,  711W,   0,  45,  70,    ,            0,           36, 
AL, 15, 2021091500, RI, DTPE,  48, 255N,  711W,   0,  55,  80,    ,            0,           48, 
AL, 15, 2021091500, RI, DTPE,  72, 255N,  711W,   0,  65,  90,    ,            0,           72, 
AL, 15, 2021091500, RI, EIOB,  12, 255N,  711W,   1,  20,  45,    ,            0,           12, 
AL, 15, 2021091500, RI, EIOB,  24, 255N,  711W,   0,  25,  50,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOB,  24, 255N,  711W,   0,  30,  55,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOB,  24, 255N,  711W,   0,  35,  60,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOB,  24, 255N,  711W,   0,  40,  65,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOB,  36, 255N,  711W,   0,  45,  70,    ,            0,           36, 
AL, 15, 2021091500, RI, EIOB,  48, 255N,  711W,   0,  55,  80,    ,            0,           48, 
AL, 15, 2021091500, RI, EIOB,  72, 255N,  711W,   0,  65,  90,    ,            0,           72, 
