AL, 19, 2021092406, RI, RIOC,  72, 314N,  620W,   0,  65,  90,    ,            0,           72, 
AL, 19, 2021092406, RI, RIOD,  12, 314N,  620W,   2,  20,  45,    ,            0,           12, 
AL, 19, 2021092406, RI, RIOD,  24, 314N,  620W,   3,  25,  50,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOD,  24, 314N,  620W,   2,  30,  55,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOD,  24, 314N,  620W,   0,  35,  60,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOD,  24, 314N,  620W,   0,  40,  65,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOD,  36, 314N,  620W,   0,  45,  70,    ,            0,           36, 
AL, 19, 2021092406, RI, RIOD,  48, 314N,  620W,   0,  55,  80,    ,            0,           48, 
AL, 19, 2021092406, RI, RIOD,  72, 314N,  620W,   0,  65,  90,    ,            0,           72, 
AL, 19, 2021092406, RI, RIOL,  12, 314N,  620W,   1,  20,  45,    ,            0,           12, 
AL, 19, 2021092406, RI, RIOL,  24, 314N,  620W,   1,  25,  50,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOL,  24, 314N,  620W,   0,  30,  55,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOL,  24, 314N,  620W,   0,  35,  60,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOL,  24, 314N,  620W,   0,  40,  65,    ,            0,           24, 
AL, 19, 2021092406, RI, RIOL,  36, 314N,  620W,   0,  45,  70,    ,            0,           36, 
AL, 19, 2021092406, RI, RIOL,  48, 314N,  620W,   0,  55,  80,    ,            0,           48, 
AL, 19, 2021092406, RI, RIOL,  72, 314N,  620W,   0,  65,  90,    ,            0,           72, 
AL, 19, 2021092412, GN, OFCL,  48,     ,      ,  30,   48, PPP, genFcst, , ,  0, 041, 
AL, 19, 2021092412, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 041, 
AL, 19, 2021092412, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 041, 
AL, 19, 2021092412, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021092412, al992021,  1, 041, 
AL, 19, 2021092412, IN, IVCN,  12,     ,      ,  68,  31,   ,    4, 
AL, 19, 2021092412, IN, IVCN,  24,     ,      ,  68,  33,   ,    6, 
AL, 19, 2021092412, IN, IVCN,  36,     ,      ,  68,  34,   ,    7, 
AL, 19, 2021092412, IN, IVCN,  48,     ,      ,  68,  37,   ,   10, 
AL, 19, 2021092412, IN, IVCN,  60,     ,      ,  68,  41,   ,   13, 
AL, 19, 2021092412, IN, IVCN,  72,     ,      ,  68,  37,   ,   13, 
AL, 19, 2021092412, IN, IVCN,  96,     ,      ,  68,  37,   ,   14, 
AL, 19, 2021092412, RI, EIOB,  12, 326N,  627W,   0,  20,  50,    ,            0,           12, 
AL, 19, 2021092412, RI, EIOB,  24, 326N,  627W,   0,  25,  55,    ,            0,           24, 
AL, 19, 2021092412, RI, EIOB,  24, 326N,  627W,   0,  30,  60,    ,            0,           24, 
AL, 19, 2021092412, RI, EIOB,  24, 326N,  627W,   0,  35,  65,    ,            0,           24, 
