EP, 15, 2021090518, RI, RIOC,  36, 146N, 1027W,   3,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, RIOC,  48, 146N, 1027W,   3,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, RIOC,  72, 146N, 1027W,   2,  65,  85,    ,            0,           72, 
EP, 15, 2021090518, RI, RIOD,  12, 146N, 1027W,   0,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, RIOD,  24, 146N, 1027W,   0,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOD,  24, 146N, 1027W,   0,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOD,  24, 146N, 1027W,   0,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOD,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOD,  36, 146N, 1027W,   0,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, RIOD,  48, 146N, 1027W,   0,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, RIOD,  72, 146N, 1027W,   0,  65,  85,    ,            0,           72, 
EP, 15, 2021090518, RI, RIOL,  12, 146N, 1027W,   0,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, RIOL,  24, 146N, 1027W,   5,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOL,  24, 146N, 1027W,   1,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOL,  24, 146N, 1027W,   1,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOL,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOL,  36, 146N, 1027W,   8,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, RIOL,  48, 146N, 1027W,  10,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, RIOL,  72, 146N, 1027W,   6,  65,  85,    ,            0,           72, 
EP, 15, 2021090600, IN, ICON,  12,     ,      ,  68,  30,   ,    5, 
EP, 15, 2021090600, IN, ICON,  24,     ,      ,  68,  34,   ,    8, 
EP, 15, 2021090600, IN, ICON,  36,     ,      ,  68,  43,   ,   12, 
EP, 15, 2021090600, IN, ICON,  48,     ,      ,  68,  52,   ,   15, 
EP, 15, 2021090600, IN, ICON,  60,     ,      ,  68,  60,   ,   17, 
EP, 15, 2021090600, IN, ICON,  72,     ,      ,  68,  68,   ,   19, 
EP, 15, 2021090600, IN, ICON,  96,     ,      ,  68,  69,   ,   19, 
EP, 15, 2021090600, IN, ICON, 120,     ,      ,  68,  47,   ,   15, 
EP, 15, 2021090600, IN, IVCN,  12,     ,      ,  68,  30,   ,    5, 
EP, 15, 2021090600, IN, IVCN,  24,     ,      ,  68,  34,   ,    8, 
EP, 15, 2021090600, IN, IVCN,  36,     ,      ,  68,  43,   ,   12, 
EP, 15, 2021090600, IN, IVCN,  48,     ,      ,  68,  52,   ,   15, 
EP, 15, 2021090600, IN, IVCN,  60,     ,      ,  68,  60,   ,   17, 
EP, 15, 2021090600, IN, IVCN,  72,     ,      ,  68,  68,   ,   19, 
EP, 15, 2021090600, IN, IVCN,  96,     ,      ,  68,  69,   ,   19, 
EP, 15, 2021090600, IN, IVCN, 120,     ,      ,  68,  47,   ,   15, 
EP, 15, 2021090600, RI, DTOP,  12, 157N, 1034W,   0,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, DTOP,  24, 157N, 1034W,   4,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, DTOP,  24, 157N, 1034W,   1,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, DTOP,  24, 157N, 1034W,   1,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, DTOP,  24, 157N, 1034W,   0,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, DTOP,  36, 157N, 1034W,   1,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, DTOP,  48, 157N, 1034W,   4,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, DTOP,  72, 157N, 1034W,  22,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, DTPE,  12, 157N, 1034W,   0,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, DTPE,  24, 157N, 1034W,   3,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, DTPE,  24, 157N, 1034W,   1,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, DTPE,  24, 157N, 1034W,   1,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, DTPE,  24, 157N, 1034W,   0,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, DTPE,  36, 157N, 1034W,   1,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, DTPE,  48, 157N, 1034W,   3,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, DTPE,  72, 157N, 1034W,  48,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, EIOB,  12, 157N, 1034W,   0,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, EIOB,  24, 157N, 1034W,   2,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOB,  24, 157N, 1034W,   0,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOB,  24, 157N, 1034W,   0,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOB,  24, 157N, 1034W,   0,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOB,  36, 157N, 1034W,   0,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, EIOB,  48, 157N, 1034W,   0,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, EIOB,  72, 157N, 1034W,   0,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, EIOC,  12, 157N, 1034W,   1,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, EIOC,  24, 157N, 1034W,  14,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOC,  24, 157N, 1034W,  11,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOC,  24, 157N, 1034W,   3,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOC,  24, 157N, 1034W,   1,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOC,  36, 157N, 1034W,  22,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, EIOC,  48, 157N, 1034W,  17,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, EIOC,  72, 157N, 1034W,   2,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, EIOD,  12, 157N, 1034W,   0,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, EIOD,  24, 157N, 1034W,  22,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOD,  24, 157N, 1034W,  19,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOD,  24, 157N, 1034W,   0,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOD,  24, 157N, 1034W,   0,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOD,  36, 157N, 1034W,  19,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, EIOD,  48, 157N, 1034W,  17,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, EIOD,  72, 157N, 1034W,   0,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, EIOL,  12, 157N, 1034W,   3,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, EIOL,  24, 157N, 1034W,  18,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOL,  24, 157N, 1034W,  12,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOL,  24, 157N, 1034W,   8,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOL,  24, 157N, 1034W,   3,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, EIOL,  36, 157N, 1034W,  48,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, EIOL,  48, 157N, 1034W,  33,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, EIOL,  72, 157N, 1034W,   6,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, RIOB,  12, 157N, 1034W,   0,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, RIOB,  24, 157N, 1034W,   1,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOB,  24, 157N, 1034W,   0,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOB,  24, 157N, 1034W,   0,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOB,  24, 157N, 1034W,   0,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOB,  36, 157N, 1034W,   0,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, RIOB,  48, 157N, 1034W,   0,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, RIOB,  72, 157N, 1034W,   0,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, RIOC,  12, 157N, 1034W,   1,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, RIOC,  24, 157N, 1034W,  13,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOC,  24, 157N, 1034W,   9,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOC,  24, 157N, 1034W,   2,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOC,  24, 157N, 1034W,   1,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOC,  36, 157N, 1034W,  17,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, RIOC,  48, 157N, 1034W,  12,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, RIOC,  72, 157N, 1034W,   2,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, RIOD,  12, 157N, 1034W,   0,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, RIOD,  24, 157N, 1034W,  21,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOD,  24, 157N, 1034W,  18,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOD,  24, 157N, 1034W,   0,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOD,  24, 157N, 1034W,   0,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOD,  36, 157N, 1034W,  19,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, RIOD,  48, 157N, 1034W,  17,  55,  80,    ,            0,           48, 
EP, 15, 2021090600, RI, RIOD,  72, 157N, 1034W,   0,  65,  90,    ,            0,           72, 
EP, 15, 2021090600, RI, RIOL,  12, 157N, 1034W,   2,  20,  45,    ,            0,           12, 
EP, 15, 2021090600, RI, RIOL,  24, 157N, 1034W,  16,  25,  50,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOL,  24, 157N, 1034W,   8,  30,  55,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOL,  24, 157N, 1034W,   5,  35,  60,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOL,  24, 157N, 1034W,   2,  40,  65,    ,            0,           24, 
EP, 15, 2021090600, RI, RIOL,  36, 157N, 1034W,  32,  45,  70,    ,            0,           36, 
EP, 15, 2021090600, RI, RIOL,  48, 157N, 1034W,  20,  55,  80,    ,            0,           48, 
