EP, 02, 2021053000, RI, EIOD,  48,  98N, 1005W,  40,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, EIOD,  72,  98N, 1005W,   0,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, RI, EIOL,  12,  98N, 1005W,   3,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, EIOL,  24,  98N, 1005W,  28,  25,  50,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOL,  24,  98N, 1005W,  15,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOL,  24,  98N, 1005W,   9,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOL,  24,  98N, 1005W,   1,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOL,  36,  98N, 1005W,  27,  45,  70,    ,            0,           36, 
EP, 02, 2021053000, RI, EIOL,  48,  98N, 1005W,  16,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, EIOL,  72,  98N, 1005W,  22,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, RI, RIOB,  12,  98N, 1005W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, RIOB,  24,  98N, 1005W,   0,  25,  50,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOB,  24,  98N, 1005W,   0,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOB,  24,  98N, 1005W,   0,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOB,  24,  98N, 1005W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOB,  36,  98N, 1005W,   0,  45,  70,    ,            0,           36, 
EP, 02, 2021053000, RI, RIOB,  48,  98N, 1005W,   0,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, RIOB,  72,  98N, 1005W,   0,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, RI, RIOC,  12,  98N, 1005W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, RIOC,  24,  98N, 1005W,  13,  25,  50,    ,            0,           24, 
