EP, 17, 2021102112, RI, RIOL,  36, 128N,  955W,  45,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, RIOL,  48, 128N,  955W,  88,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, RIOL,  72, 128N,  955W,  51,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, IN, ICON,  12,     ,      ,  68,  31,   ,    5, 
EP, 17, 2021102118, IN, ICON,  24,     ,      ,  68,  39,   ,    9, 
EP, 17, 2021102118, IN, ICON,  36,     ,      ,  68,  50,   ,   13, 
EP, 17, 2021102118, IN, ICON,  48,     ,      ,  68,  61,   ,   16, 
EP, 17, 2021102118, IN, ICON,  60,     ,      ,  68,  71,   ,   19, 
EP, 17, 2021102118, IN, ICON,  72,     ,      ,  68,  77,   ,   21, 
EP, 17, 2021102118, IN, ICON,  96,     ,      ,  68,  43,   ,   19, 
EP, 17, 2021102118, IN, IVCN,  12,     ,      ,  68,  31,   ,    5, 
EP, 17, 2021102118, IN, IVCN,  24,     ,      ,  68,  38,   ,    9, 
EP, 17, 2021102118, IN, IVCN,  36,     ,      ,  68,  47,   ,   13, 
EP, 17, 2021102118, IN, IVCN,  48,     ,      ,  68,  58,   ,   16, 
EP, 17, 2021102118, IN, IVCN,  60,     ,      ,  68,  70,   ,   19, 
EP, 17, 2021102118, IN, IVCN,  72,     ,      ,  68,  80,   ,   21, 
EP, 17, 2021102118, IN, IVCN,  96,     ,      ,  68,  44,   ,   18, 
EP, 17, 2021102118, IN, IVCN, 120,     ,      ,  68,  28,   ,    8, 
EP, 17, 2021102118, RI, DTOP,  12, 128N,  969W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, DTOP,  24, 128N,  969W,  16,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, DTOP,  24, 128N,  969W,   5,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, DTOP,  24, 128N,  969W,   3,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, DTOP,  24, 128N,  969W,   2,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, DTOP,  36, 128N,  969W,  18,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, DTOP,  48, 128N,  969W,  35,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, DTOP,  72, 128N,  969W,  25,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, DTPE,  12, 128N,  969W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, DTPE,  24, 128N,  969W,   8,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, DTPE,  24, 128N,  969W,   2,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, DTPE,  24, 128N,  969W,   1,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, DTPE,  24, 128N,  969W,   1,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, DTPE,  36, 128N,  969W,   6,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, DTPE,  48, 128N,  969W,  18,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, DTPE,  72, 128N,  969W,  22,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, EIOB,  12, 128N,  968W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, EIOB,  24, 128N,  968W,   5,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOB,  24, 128N,  968W,   4,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOB,  24, 128N,  968W,   1,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOB,  24, 128N,  968W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOB,  36, 128N,  968W,   1,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, EIOB,  48, 128N,  968W,   2,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, EIOB,  72, 128N,  968W,   5,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, EIOC,  12, 128N,  968W,   1,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, EIOC,  24, 128N,  968W,  22,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOC,  24, 128N,  968W,  17,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOC,  24, 128N,  968W,   7,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOC,  24, 128N,  968W,   4,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOC,  36, 128N,  968W,  35,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, EIOC,  48, 128N,  968W,  49,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, EIOC,  72, 128N,  968W,  18,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, EIOD,  12, 128N,  968W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, EIOD,  24, 128N,  968W,  23,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOD,  24, 128N,  968W,  21,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOD,  24, 128N,  968W,   0,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOD,  24, 128N,  968W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOD,  36, 128N,  968W,  29,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, EIOD,  48, 128N,  968W,  53,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, EIOD,  72, 128N,  968W,   0,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, EIOL,  12, 128N,  968W,   3,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, EIOL,  24, 128N,  968W,  38,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOL,  24, 128N,  968W,  27,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOL,  24, 128N,  968W,  20,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOL,  24, 128N,  968W,  13,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, EIOL,  36, 128N,  968W,  76,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, EIOL,  48, 128N,  968W,  92,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, EIOL,  72, 128N,  968W,  50,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, RIOB,  12, 128N,  968W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, RIOB,  24, 128N,  968W,   5,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOB,  24, 128N,  968W,   4,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOB,  24, 128N,  968W,   1,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOB,  24, 128N,  968W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOB,  36, 128N,  968W,   1,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, RIOB,  48, 128N,  968W,   1,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, RIOB,  72, 128N,  968W,   8,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, RIOC,  12, 128N,  968W,   1,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, RIOC,  24, 128N,  968W,  22,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOC,  24, 128N,  968W,  16,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOC,  24, 128N,  968W,   6,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOC,  24, 128N,  968W,   4,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOC,  36, 128N,  968W,  29,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, RIOC,  48, 128N,  968W,  48,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, RIOC,  72, 128N,  968W,  18,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, RIOD,  12, 128N,  968W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, RIOD,  24, 128N,  968W,  23,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOD,  24, 128N,  968W,  20,  30,  55,    ,            0,           24, 
