EP, 04, 2021061706, RI, RIOD,  24, 135N,  990W,   0,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOD,  24, 135N,  990W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOD,  24, 135N,  990W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOD,  36, 135N,  990W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, RIOD,  48, 135N,  990W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, RIOD,  72, 135N,  990W,   0,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, RIOL,  12, 135N,  990W,   3,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, RIOL,  24, 135N,  990W,  34,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOL,  24, 135N,  990W,  18,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOL,  24, 135N,  990W,  11,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOL,  24, 135N,  990W,   2,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOL,  36, 135N,  990W,  47,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, RIOL,  48, 135N,  990W,  78,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, RIOL,  72, 135N,  990W,  36,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, IN, IVCN,  12,     ,      ,  68,  25,   ,    5, 
EP, 04, 2021061712, IN, IVCN,  24,     ,      ,  68,  30,   ,    8, 
EP, 04, 2021061712, IN, IVCN,  36,     ,      ,  68,  30,   ,   10, 
EP, 04, 2021061712, IN, IVCN,  48,     ,      ,  68,  28,   ,   11, 
EP, 04, 2021061712, IN, IVCN,  60,     ,      ,  68,  27,   ,   11, 
EP, 04, 2021061712, IN, IVCN,  72,     ,      ,  68,  27,   ,   13, 
EP, 04, 2021061712, IN, IVCN,  96,     ,      ,  68,  27,   ,    7, 
EP, 04, 2021061712, IN, IVCN, 120,     ,      ,  68,  27,   ,    7, 
EP, 04, 2021061712, RI, EIOB,  12, 139N,  982W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, EIOB,  24, 139N,  982W,   2,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOB,  24, 139N,  982W,   1,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOB,  24, 139N,  982W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOB,  24, 139N,  982W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOB,  36, 139N,  982W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, EIOB,  48, 139N,  982W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, EIOB,  72, 139N,  982W,   2,  65,  85,    ,            0,           72, 
