EP, 07, 2021071512, RI, RIOL,  12, 100N,  990W,   1,  20,  40,    ,            0,           12, 
EP, 07, 2021071512, RI, RIOL,  24, 100N,  990W,  11,  25,  45,    ,            0,           24, 
EP, 07, 2021071512, RI, RIOL,  24, 100N,  990W,   5,  30,  50,    ,            0,           24, 
EP, 07, 2021071512, RI, RIOL,  24, 100N,  990W,   2,  35,  55,    ,            0,           24, 
EP, 07, 2021071512, RI, RIOL,  24, 100N,  990W,   1,  40,  60,    ,            0,           24, 
EP, 07, 2021071512, RI, RIOL,  36, 100N,  990W,  14,  45,  65,    ,            0,           36, 
EP, 07, 2021071512, RI, RIOL,  48, 100N,  990W,  45,  55,  75,    ,            0,           48, 
EP, 07, 2021071512, RI, RIOL,  72, 100N,  990W,  13,  65,  85,    ,            0,           72, 
EP, 07, 2021071518, IN, ICON,  12,     ,      ,  68,  24,   ,    5, 
EP, 07, 2021071518, IN, ICON,  24,     ,      ,  68,  26,   ,    8, 
EP, 07, 2021071518, IN, ICON,  36,     ,      ,  68,  29,   ,   10, 
EP, 07, 2021071518, IN, ICON,  48,     ,      ,  68,  33,   ,   11, 
EP, 07, 2021071518, IN, ICON,  60,     ,      ,  68,  38,   ,   13, 
EP, 07, 2021071518, IN, IVCN,  12,     ,      ,  68,  25,   ,    5, 
EP, 07, 2021071518, IN, IVCN,  24,     ,      ,  68,  27,   ,    8, 
EP, 07, 2021071518, IN, IVCN,  36,     ,      ,  68,  29,   ,   10, 
EP, 07, 2021071518, IN, IVCN,  48,     ,      ,  68,  33,   ,   12, 
EP, 07, 2021071518, IN, IVCN,  60,     ,      ,  68,  38,   ,   13, 
EP, 07, 2021071518, IN, IVCN,  72,     ,      ,  68,  49,   ,   17, 
EP, 07, 2021071518, IN, IVCN,  96,     ,      ,  68,  46,   ,   17, 
EP, 07, 2021071518, IN, IVCN, 120,     ,      ,  68,  34,   ,   15, 
EP, 07, 2021071518, RI, DTOP,  12, 100N,  969W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071518, RI, DTOP,  24, 100N,  969W,   1,  25,  45,    ,            0,           24, 
EP, 07, 2021071518, RI, DTOP,  24, 100N,  969W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071518, RI, DTOP,  24, 100N,  969W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071518, RI, DTOP,  24, 100N,  969W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071518, RI, DTOP,  36, 100N,  969W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071518, RI, DTOP,  48, 100N,  969W,   1,  55,  75,    ,            0,           48, 
EP, 07, 2021071518, RI, DTOP,  72, 100N,  969W,  22,  65,  85,    ,            0,           72, 
EP, 07, 2021071518, RI, DTPE,  12, 100N,  969W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071518, RI, DTPE,  24, 100N,  969W,   0,  25,  45,    ,            0,           24, 
EP, 07, 2021071518, RI, DTPE,  24, 100N,  969W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071518, RI, DTPE,  24, 100N,  969W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071518, RI, DTPE,  24, 100N,  969W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071518, RI, DTPE,  36, 100N,  969W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071518, RI, DTPE,  48, 100N,  969W,   0,  55,  75,    ,            0,           48, 
EP, 07, 2021071518, RI, DTPE,  72, 100N,  969W,   0,  65,  85,    ,            0,           72, 
EP, 07, 2021071518, RI, RIOB,  12, 100N,  968W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071518, RI, RIOB,  24, 100N,  968W,   0,  25,  45,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOB,  24, 100N,  968W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOB,  24, 100N,  968W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOB,  24, 100N,  968W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOB,  36, 100N,  968W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071518, RI, RIOB,  48, 100N,  968W,   0,  55,  75,    ,            0,           48, 
EP, 07, 2021071518, RI, RIOB,  72, 100N,  968W,   0,  65,  85,    ,            0,           72, 
EP, 07, 2021071518, RI, RIOC,  12, 100N,  968W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071518, RI, RIOC,  24, 100N,  968W,   3,  25,  45,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOC,  24, 100N,  968W,   1,  30,  50,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOC,  24, 100N,  968W,   1,  35,  55,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOC,  24, 100N,  968W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOC,  36, 100N,  968W,   2,  45,  65,    ,            0,           36, 
EP, 07, 2021071518, RI, RIOC,  48, 100N,  968W,   3,  55,  75,    ,            0,           48, 
EP, 07, 2021071518, RI, RIOC,  72, 100N,  968W,   1,  65,  85,    ,            0,           72, 
EP, 07, 2021071518, RI, RIOD,  12, 100N,  968W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071518, RI, RIOD,  24, 100N,  968W,   0,  25,  45,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOD,  24, 100N,  968W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOD,  24, 100N,  968W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOD,  24, 100N,  968W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOD,  36, 100N,  968W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071518, RI, RIOD,  48, 100N,  968W,   0,  55,  75,    ,            0,           48, 
EP, 07, 2021071518, RI, RIOD,  72, 100N,  968W,   0,  65,  85,    ,            0,           72, 
EP, 07, 2021071518, RI, RIOL,  12, 100N,  968W,   1,  20,  40,    ,            0,           12, 
EP, 07, 2021071518, RI, RIOL,  24, 100N,  968W,   9,  25,  45,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOL,  24, 100N,  968W,   3,  30,  50,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOL,  24, 100N,  968W,   2,  35,  55,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOL,  24, 100N,  968W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071518, RI, RIOL,  36, 100N,  968W,   6,  45,  65,    ,            0,           36, 
EP, 07, 2021071518, RI, RIOL,  48, 100N,  968W,   8,  55,  75,    ,            0,           48, 
EP, 07, 2021071518, RI, RIOL,  72, 100N,  968W,   2,  65,  85,    ,            0,           72, 
EP, 07, 2021071518, TR, GPCC,  12, 121N,  990W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, GPCC,  24, 139N, 1026W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, GPCC,  36, 149N, 1060W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, GPCC,  48, 158N, 1087W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, GPCC,  60, 168N, 1109W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, GPCC,  72, 177N, 1132W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, GPCC,  96, 192N, 1183W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, GPCC, 120, 202N, 1234W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
