EP, 01, 2021050712, 03,  EMH, 114, 166N, 1133W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMH, 120, 156N, 1144W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,   0, 107N, 1022W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,   6, 111N, 1036W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  12, 111N, 1046W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  18, 115N, 1055W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  24, 122N, 1063W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  30, 130N, 1072W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  36, 134N, 1081W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  42, 137N, 1086W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  48, 142N, 1089W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  54, 147N, 1092W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  60, 151N, 1100W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  66, 155N, 1104W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  72, 158N, 1106W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  78, 162N, 1109W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  84, 165N, 1112W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  90, 165N, 1114W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX,  96, 167N, 1116W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX, 102, 166N, 1125W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX, 108, 166N, 1127W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX, 114, 166N, 1133W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  EMX, 120, 156N, 1144W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,   0, 101N, 1018W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,   6, 105N, 1032W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  12, 107N, 1042W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
