EP, 10, 2021073106, RI, RIOD,  24, 117N, 1040W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOD,  24, 117N, 1040W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOD,  24, 117N, 1040W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOD,  36, 117N, 1040W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073106, RI, RIOD,  48, 117N, 1040W,   0,  55,  75,    ,            0,           48, 
EP, 10, 2021073106, RI, RIOD,  72, 117N, 1040W,   0,  65,  85,    ,            0,           72, 
EP, 10, 2021073106, RI, RIOL,  12, 117N, 1040W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   1,  25,  45,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  36, 117N, 1040W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073106, RI, RIOL,  48, 117N, 1040W,   2,  55,  75,    ,            0,           48, 
EP, 10, 2021073106, RI, RIOL,  72, 117N, 1040W,   5,  65,  85,    ,            0,           72, 
EP, 10, 2021073112, IN, IVCN,  12,     ,      ,  68,  25,   ,    5, 
EP, 10, 2021073112, IN, IVCN,  24,     ,      ,  68,  26,   ,    8, 
EP, 10, 2021073112, IN, IVCN,  36,     ,      ,  68,  26,   ,    9, 
EP, 10, 2021073112, IN, IVCN,  48,     ,      ,  68,  26,   ,   10, 
EP, 10, 2021073112, IN, IVCN,  60,     ,      ,  68,  25,   ,   11, 
EP, 10, 2021073112, IN, IVCN,  72,     ,      ,  68,  27,   ,   13, 
EP, 10, 2021073112, IN, IVCN,  96,     ,      ,  68,  20,   ,   11, 
EP, 10, 2021073112, RI, EIOB,  12, 119N, 1052W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073112, RI, EIOB,  24, 119N, 1052W,   2,  25,  45,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOB,  24, 119N, 1052W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOB,  24, 119N, 1052W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOB,  24, 119N, 1052W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOB,  36, 119N, 1052W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073112, RI, EIOB,  48, 119N, 1052W,   0,  55,  75,    ,            0,           48, 
EP, 10, 2021073112, RI, EIOB,  72, 119N, 1052W,   0,  65,  85,    ,            0,           72, 
EP, 10, 2021073112, RI, EIOC,  12, 119N, 1052W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073112, RI, EIOC,  24, 119N, 1052W,   2,  25,  45,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOC,  24, 119N, 1052W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOC,  24, 119N, 1052W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOC,  24, 119N, 1052W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073112, RI, EIOC,  36, 119N, 1052W,   1,  45,  65,    ,            0,           36, 
EP, 10, 2021073112, RI, EIOC,  48, 119N, 1052W,   5,  55,  75,    ,            0,           48, 
EP, 10, 2021073112, RI, EIOC,  72, 119N, 1052W,   6,  65,  85,    ,            0,           72, 
