AL, 06, 2021080818, IN, ICON,  24,     ,      ,  68,  31,   ,    6, 
AL, 06, 2021080818, IN, ICON,  36,     ,      ,  68,  35,   ,    8, 
AL, 06, 2021080818, IN, ICON,  48,     ,      ,  68,  40,   ,   11, 
AL, 06, 2021080818, IN, ICON,  60,     ,      ,  68,  45,   ,   14, 
AL, 06, 2021080818, IN, ICON,  72,     ,      ,  68,  48,   ,   20, 
AL, 06, 2021080818, IN, ICON,  96,     ,      ,  68,  40,   ,   18, 
AL, 06, 2021080818, IN, ICON, 120,     ,      ,  68,  42,   ,   20, 
AL, 06, 2021080818, IN, IVCN,  12,     ,      ,  68,  28,   ,    4, 
AL, 06, 2021080818, IN, IVCN,  24,     ,      ,  68,  30,   ,    6, 
AL, 06, 2021080818, IN, IVCN,  36,     ,      ,  68,  34,   ,    7, 
AL, 06, 2021080818, IN, IVCN,  48,     ,      ,  68,  39,   ,   11, 
AL, 06, 2021080818, IN, IVCN,  60,     ,      ,  68,  43,   ,   14, 
AL, 06, 2021080818, IN, IVCN,  72,     ,      ,  68,  46,   ,   19, 
AL, 06, 2021080818, IN, IVCN,  96,     ,      ,  68,  40,   ,   17, 
AL, 06, 2021080818, IN, IVCN, 120,     ,      ,  68,  43,   ,   19, 
AL, 06, 2021080818, RI, DTOP,  12, 131N,  533W,   0,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, DTOP,  24, 131N,  533W,   0,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, DTOP,  24, 131N,  533W,   0,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, DTOP,  24, 131N,  533W,   0,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, DTOP,  24, 131N,  533W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, DTOP,  36, 131N,  533W,   0,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, DTOP,  48, 131N,  533W,   0,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, DTOP,  72, 131N,  533W,   0,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, DTPE,  12, 131N,  533W,   0,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, DTPE,  24, 131N,  533W,   0,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, DTPE,  24, 131N,  533W,   0,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, DTPE,  24, 131N,  533W,   0,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, DTPE,  24, 131N,  533W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, DTPE,  36, 131N,  533W,   0,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, DTPE,  48, 131N,  533W,   0,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, DTPE,  72, 131N,  533W,   0,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, EIOB,  12, 131N,  532W,   1,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, EIOB,  24, 131N,  532W,  14,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOB,  24, 131N,  532W,   6,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOB,  24, 131N,  532W,   0,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOB,  24, 131N,  532W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOB,  36, 131N,  532W,   2,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, EIOB,  48, 131N,  532W,   3,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, EIOB,  72, 131N,  532W,   2,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, EIOC,  12, 131N,  532W,   4,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, EIOC,  24, 131N,  532W,  14,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOC,  24, 131N,  532W,   9,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOC,  24, 131N,  532W,   4,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOC,  24, 131N,  532W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOC,  36, 131N,  532W,   3,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, EIOC,  48, 131N,  532W,   7,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, EIOC,  72, 131N,  532W,   6,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, EIOD,  12, 131N,  532W,   5,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, EIOD,  24, 131N,  532W,  15,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOD,  24, 131N,  532W,   9,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOD,  24, 131N,  532W,   8,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOD,  24, 131N,  532W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOD,  36, 131N,  532W,   0,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, EIOD,  48, 131N,  532W,  11,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, EIOD,  72, 131N,  532W,   0,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, EIOL,  12, 131N,  532W,   6,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, EIOL,  24, 131N,  532W,  13,  25,  50,    ,            0,           24, 
