AL, 07, 2021081018, RI, RIOC,  24, 115N,  280W,   3,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOC,  24, 115N,  280W,   1,  40,  65,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOC,  36, 115N,  280W,   2,  45,  70,    ,            0,           36, 
AL, 07, 2021081018, RI, RIOC,  48, 115N,  280W,   4,  55,  80,    ,            0,           48, 
AL, 07, 2021081018, RI, RIOC,  72, 115N,  280W,   3,  65,  90,    ,            0,           72, 
AL, 07, 2021081018, RI, RIOD,  12, 115N,  280W,   4,  20,  45,    ,            0,           12, 
AL, 07, 2021081018, RI, RIOD,  24, 115N,  280W,  11,  25,  50,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOD,  24, 115N,  280W,   7,  30,  55,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOD,  24, 115N,  280W,   6,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOD,  24, 115N,  280W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOD,  36, 115N,  280W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081018, RI, RIOD,  48, 115N,  280W,   6,  55,  80,    ,            0,           48, 
AL, 07, 2021081018, RI, RIOD,  72, 115N,  280W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081018, RI, RIOL,  12, 115N,  280W,   5,  20,  45,    ,            0,           12, 
AL, 07, 2021081018, RI, RIOL,  24, 115N,  280W,  13,  25,  50,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOL,  24, 115N,  280W,   8,  30,  55,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOL,  24, 115N,  280W,   3,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOL,  24, 115N,  280W,   2,  40,  65,    ,            0,           24, 
AL, 07, 2021081018, RI, RIOL,  36, 115N,  280W,   5,  45,  70,    ,            0,           36, 
AL, 07, 2021081018, RI, RIOL,  48, 115N,  280W,   5,  55,  80,    ,            0,           48, 
AL, 07, 2021081018, RI, RIOL,  72, 115N,  280W,   8,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, IN, IVCN,  12,     ,      ,  68,  26,   ,    4, 
AL, 07, 2021081112, IN, IVCN,  24,     ,      ,  68,  28,   ,    6, 
AL, 07, 2021081112, IN, IVCN,  36,     ,      ,  68,  31,   ,    7, 
AL, 07, 2021081112, IN, IVCN,  48,     ,      ,  68,  35,   ,   10, 
AL, 07, 2021081112, IN, IVCN,  60,     ,      ,  68,  40,   ,   13, 
AL, 07, 2021081112, IN, IVCN,  72,     ,      ,  68,  46,   ,   18, 
AL, 07, 2021081112, IN, IVCN,  96,     ,      ,  68,  58,   ,   19, 
AL, 07, 2021081112, IN, IVCN, 120,     ,      ,  68,  64,   ,   18, 
AL, 07, 2021081112, RI, EIOB,  12, 122N,  322W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, EIOB,  24, 122N,  322W,   3,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOB,  24, 122N,  322W,   1,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOB,  24, 122N,  322W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOB,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOB,  36, 122N,  322W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081112, RI, EIOB,  48, 122N,  322W,   0,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, EIOB,  72, 122N,  322W,   1,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, RI, EIOC,  12, 122N,  322W,   2,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, EIOC,  24, 122N,  322W,   7,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOC,  24, 122N,  322W,   4,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOC,  24, 122N,  322W,   2,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOC,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOC,  36, 122N,  322W,   1,  45,  70,    ,            0,           36, 
AL, 07, 2021081112, RI, EIOC,  48, 122N,  322W,   4,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, EIOC,  72, 122N,  322W,   3,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, RI, EIOD,  12, 122N,  322W,   4,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, EIOD,  24, 122N,  322W,  11,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOD,  24, 122N,  322W,   8,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOD,  24, 122N,  322W,   7,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOD,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOD,  36, 122N,  322W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081112, RI, EIOD,  48, 122N,  322W,   9,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, EIOD,  72, 122N,  322W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, RI, EIOL,  12, 122N,  322W,   2,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, EIOL,  24, 122N,  322W,   7,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOL,  24, 122N,  322W,   4,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOL,  24, 122N,  322W,   1,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOL,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, EIOL,  36, 122N,  322W,   2,  45,  70,    ,            0,           36, 
AL, 07, 2021081112, RI, EIOL,  48, 122N,  322W,   3,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, EIOL,  72, 122N,  322W,   9,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, RI, RIOB,  12, 122N,  322W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, RIOB,  24, 122N,  322W,   2,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOB,  24, 122N,  322W,   1,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOB,  24, 122N,  322W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOB,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOB,  36, 122N,  322W,   0,  45,  70,    ,            0,           36, 
