AL, 14, 2021091106, RI, RIOL,  24, 175N,  915W,  25,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOL,  24, 175N,  915W,  13,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOL,  36, 175N,  915W,  28,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, RIOL,  48, 175N,  915W,  41,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, RIOL,  72, 175N,  915W,  41,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, IN, ICON,  12,     ,      ,  68,  24,   ,    4, 
AL, 14, 2021091112, IN, IVCN,  12,     ,      ,  68,  24,   ,    4, 
AL, 14, 2021091112, IN, IVCN,  24,     ,      ,  68,  29,   ,    6, 
AL, 14, 2021091112, IN, IVCN,  36,     ,      ,  68,  32,   ,    7, 
AL, 14, 2021091112, IN, IVCN,  48,     ,      ,  68,  34,   ,   11, 
AL, 14, 2021091112, IN, IVCN,  60,     ,      ,  68,  35,   ,   13, 
AL, 14, 2021091112, IN, IVCN,  72,     ,      ,  68,  33,   ,   18, 
AL, 14, 2021091112, IN, IVCN,  96,     ,      ,  68,  28,   ,   11, 
AL, 14, 2021091112, IN, IVCN, 120,     ,      ,  68,  23,   ,   14, 
AL, 14, 2021091112, RI, DTOP,  12, 179N,  921W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, DTOP,  24, 179N,  921W,   0,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, DTOP,  24, 179N,  921W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, DTOP,  24, 179N,  921W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, DTOP,  24, 179N,  921W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, DTOP,  36, 179N,  921W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, DTOP,  48, 179N,  921W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, DTOP,  72, 179N,  921W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, DTPE,  12, 179N,  921W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, DTPE,  24, 179N,  921W,   1,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, DTPE,  24, 179N,  921W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, DTPE,  24, 179N,  921W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, DTPE,  24, 179N,  921W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, DTPE,  36, 179N,  921W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, DTPE,  48, 179N,  921W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, DTPE,  72, 179N,  921W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, EIOB,  12, 179N,  921W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, EIOB,  24, 179N,  921W,   1,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOB,  24, 179N,  921W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOB,  24, 179N,  921W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOB,  24, 179N,  921W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOB,  36, 179N,  921W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, EIOB,  48, 179N,  921W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, EIOB,  72, 179N,  921W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, EIOC,  12, 179N,  921W,   3,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, EIOC,  24, 179N,  921W,  18,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOC,  24, 179N,  921W,  10,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOC,  24, 179N,  921W,   8,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOC,  24, 179N,  921W,   5,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOC,  36, 179N,  921W,  11,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, EIOC,  48, 179N,  921W,  16,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, EIOC,  72, 179N,  921W,  21,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, EIOD,  12, 179N,  921W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, EIOD,  24, 179N,  921W,   0,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOD,  24, 179N,  921W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOD,  24, 179N,  921W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOD,  24, 179N,  921W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOD,  36, 179N,  921W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, EIOD,  48, 179N,  921W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, EIOD,  72, 179N,  921W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, EIOL,  12, 179N,  921W,   8,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, EIOL,  24, 179N,  921W,  53,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOL,  24, 179N,  921W,  31,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOL,  24, 179N,  921W,  25,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOL,  24, 179N,  921W,  14,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, EIOL,  36, 179N,  921W,  32,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, EIOL,  48, 179N,  921W,  47,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, EIOL,  72, 179N,  921W,  64,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, RIOB,  12, 179N,  921W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, RIOB,  24, 179N,  921W,   1,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOB,  24, 179N,  921W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOB,  24, 179N,  921W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOB,  24, 179N,  921W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOB,  36, 179N,  921W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, RIOB,  48, 179N,  921W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, RIOB,  72, 179N,  921W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, RIOC,  12, 179N,  921W,   2,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, RIOC,  24, 179N,  921W,  13,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOC,  24, 179N,  921W,   8,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOC,  24, 179N,  921W,   7,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOC,  24, 179N,  921W,   3,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOC,  36, 179N,  921W,   6,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, RIOC,  48, 179N,  921W,   7,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, RIOC,  72, 179N,  921W,   6,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, RIOD,  12, 179N,  921W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, RIOD,  24, 179N,  921W,   0,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOD,  24, 179N,  921W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOD,  24, 179N,  921W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOD,  24, 179N,  921W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOD,  36, 179N,  921W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, RIOD,  48, 179N,  921W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, RIOD,  72, 179N,  921W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, RI, RIOL,  12, 179N,  921W,   7,  20,  40,    ,            0,           12, 
AL, 14, 2021091112, RI, RIOL,  24, 179N,  921W,  38,  25,  45,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOL,  24, 179N,  921W,  23,  30,  50,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOL,  24, 179N,  921W,  20,  35,  55,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOL,  24, 179N,  921W,   9,  40,  60,    ,            0,           24, 
AL, 14, 2021091112, RI, RIOL,  36, 179N,  921W,  19,  45,  65,    ,            0,           36, 
AL, 14, 2021091112, RI, RIOL,  48, 179N,  921W,  20,  55,  75,    ,            0,           48, 
AL, 14, 2021091112, RI, RIOL,  72, 179N,  921W,  18,  65,  85,    ,            0,           72, 
AL, 14, 2021091112, TR, GPCC,  12, 183N,  931W,  68,   25,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, GPCC,  24, 196N,  943W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, GPCC,  36, 214N,  956W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, GPCC,  48, 236N,  966W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
