EP, 13, 2021082212, RI, EIOD,  12, 189N, 1058W,   7,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, EIOD,  24, 189N, 1058W,  15,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOD,  24, 189N, 1058W,  14,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOD,  24, 189N, 1058W,  14,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOD,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOD,  36, 189N, 1058W,  13,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, EIOD,  48, 189N, 1058W,  12,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, EIOD,  72, 189N, 1058W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, RI, EIOL,  12, 189N, 1058W,   3,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, EIOL,  24, 189N, 1058W,  10,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOL,  24, 189N, 1058W,   5,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOL,  24, 189N, 1058W,   2,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOL,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOL,  36, 189N, 1058W,   4,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, EIOL,  48, 189N, 1058W,   3,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, EIOL,  72, 189N, 1058W,   4,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, RI, RIOB,  12, 189N, 1058W,   0,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, RIOB,  24, 189N, 1058W,   1,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOB,  24, 189N, 1058W,   0,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOB,  24, 189N, 1058W,   0,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOB,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOB,  36, 189N, 1058W,   0,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, RIOB,  48, 189N, 1058W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, RIOB,  72, 189N, 1058W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, RI, RIOC,  12, 189N, 1058W,   3,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, RIOC,  24, 189N, 1058W,  11,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOC,  24, 189N, 1058W,   7,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOC,  24, 189N, 1058W,   6,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOC,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOC,  36, 189N, 1058W,   5,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, RIOC,  48, 189N, 1058W,   4,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, RIOC,  72, 189N, 1058W,   1,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, RI, RIOD,  12, 189N, 1058W,   7,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, RIOD,  24, 189N, 1058W,  18,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOD,  24, 189N, 1058W,  16,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOD,  24, 189N, 1058W,  15,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOD,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOD,  36, 189N, 1058W,  14,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, RIOD,  48, 189N, 1058W,  12,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, RIOD,  72, 189N, 1058W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, RI, RIOL,  12, 189N, 1058W,   3,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, RIOL,  24, 189N, 1058W,  13,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOL,  24, 189N, 1058W,   6,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOL,  24, 189N, 1058W,   2,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOL,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, RIOL,  36, 189N, 1058W,   2,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, RIOL,  48, 189N, 1058W,   1,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, RIOL,  72, 189N, 1058W,   2,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, WR, RVCN,   0, 189N, 1058W,  68,   0, 34,    0, 
