AL, 19, 2021092406, 03, DSWR,  24, 351N,  636W,  34, 1004, TS,  34, NEQ,   60,   40,   40,   40, 
AL, 19, 2021092406, 03, DSWR,  30, 359N,  634W,  36, 1004, TS,  34, NEQ,   80,   80,   40,   40, 
AL, 19, 2021092406, 03, DSWR,  36, 367N,  631W,  38, 1001, TS,  34, NEQ,   85,   85,   65,   40, 
AL, 19, 2021092406, 03, DSWR,  42, 377N,  626W,  38, 1001, TS,  34, NEQ,   90,   90,   70,   40, 
AL, 19, 2021092406, 03, DSWR,  48, 387N,  621W,  39,  999, TS,  34, NEQ,   90,   90,   75,   40, 
AL, 19, 2021092406, 03, DSWR,  54, 403N,  610W,  40, 1000, TS,  34, NEQ,   95,   95,   80,   40, 
AL, 19, 2021092406, 03, DSWR,  60, 418N,  600W,  42,  997, TS,  34, NEQ,   95,  100,   85,   70, 
AL, 19, 2021092406, 03, DSWR,  66, 441N,  584W,  45,  995, TS,  34, NEQ,  105,  110,   95,   75, 
AL, 19, 2021092406, 03, DSWR,  72, 464N,  567W,  48,  990, EX,  34, NEQ,  115,  120,  105,   85, 
AL, 19, 2021092406, 03, DSWR,  78, 489N,  545W,  43,  992, EX,  34, NEQ,  105,  115,  105,   80, 
AL, 19, 2021092406, 03, DSWR,  84, 514N,  522W,  39,  991, EX,  34, NEQ,  100,  105,   95,   55, 
AL, 19, 2021092406, 03, DSWR,  90, 530N,  492W,  37,  991, EX,  34, NEQ,   90,  105,   90,   60, 
AL, 19, 2021092406, 03, DSWR,  96, 546N,  461W,  35,  990, EX,  34, NEQ,   60,  105,   90,   60, 
AL, 19, 2021092406, 03, DSWR, 102, 555N,  412W,  30,  993, EX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, DSWR, 108, 564N,  363W,  25,  997, EX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, DSWR, 114, 564N,  363W,  25, 1000, EX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, DSWR, 120, 564N,  363W,  25, 1000, EX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, HCCA,   0, 314N,  620W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  24,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  36,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  48,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  60,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  72,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  84,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN,  96,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVCN, 108,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  24,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  36,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  48,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  60,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  72,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  84,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR,  96,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, IVDR, 108,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,   0, 314N,  620W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  12, 335N,  632W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  24, 351N,  636W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  36, 367N,  631W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  48, 387N,  621W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  60, 418N,  600W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  72, 464N,  567W,  32,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  84, 514N,  522W,  35,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM,  96, 546N,  461W,  38,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM, 108, 564N,  363W,  40,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM, 120, 575N,  246W,  40,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM, 132, 589N,  136W,  40,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM, 144, 615N,   86W,  42,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM, 156, 634N,  110W,  45,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGEM, 168, 630N,  147W,  46,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,   0, 314N,  620W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  12, 335N,  633W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  24, 350N,  638W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  36, 367N,  635W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  48, 386N,  625W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  60, 417N,  603W,  26,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  72, 459N,  573W,  28,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  84, 499N,  533W,  31,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME,  96, 519N,  477W,  34,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME, 108, 523N,  396W,  37,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME, 120, 512N,  282W,  40,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME, 132, 487N,  176W,  40,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME, 144, 462N,   93W,  39,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME, 156, 446N,   35W,  36,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, LGME, 168, 431N,   15E,  30,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,   0, 314N,  620W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  12, 325N,  629W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  24, 335N,  633W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  36, 343N,  636W,  32,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  48, 351N,  637W,  32,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  60, 359N,  635W,  35,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  72, 367N,  632W,  40,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  84, 376N,  627W,  37,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB,  96, 387N,  621W,  37,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIB, 108, 401N,  612W,  33,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,   0, 314N,  620W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  12, 325N,  629W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  24, 335N,  633W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  36, 343N,  636W,  34,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  48, 351N,  637W,  36,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  60, 359N,  635W,  40,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  72, 367N,  632W,  46,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  84, 376N,  627W,  41,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC,  96, 387N,  621W,  42,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, NNIC, 108, 401N,  612W,  24,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,   0, 314N,  620W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  12, 344N,  623W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  24, 368N,  613W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  36, 389N,  590W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  48, 404N,  563W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  60, 417N,  536W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  72, 429N,  510W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  84, 439N,  485W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5,  96, 450N,  455W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5, 108, 461N,  427W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, OCD5, 120, 469N,  401W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  12,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  24,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  36,   0N,    0W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  48,   0N,    0W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  60,   0N,    0W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  72,   0N,    0W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  84,   0N,    0W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5,  96,   0N,    0W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5, 108,   0N,    0W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHF5, 120,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,   0, 314N,  620W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  12, 335N,  632W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  24, 351N,  636W,  34,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  36, 367N,  631W,  38,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  48, 387N,  621W,  39,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  60, 418N,  600W,  42,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  72, 464N,  567W,  48,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  84, 514N,  522W,  46,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP,  96, 546N,  461W,  41,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP, 108, 564N,  363W,  32,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHIP, 120, 575N,  246W,  18,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,   0, 314N,  620W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  12, 335N,  633W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  24, 350N,  638W,  34,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  36, 367N,  635W,  38,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  48, 386N,  625W,  39,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  60, 417N,  603W,  40,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  72, 459N,  573W,  40,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  84, 499N,  533W,  37,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE,  96, 519N,  477W,  31,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, SHPE, 108, 523N,  396W,  23,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,   0, 314N,  620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,   6, 326N,  627W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  12, 335N,  628W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  18, 345N,  627W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  24, 355N,  624W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  30, 365N,  619W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  36, 375N,  613W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  42, 386N,  605W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  48, 398N,  597W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  54, 413N,  586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  60, 430N,  573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  66, 450N,  557W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  72, 473N,  536W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  78, 496N,  508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  84, 516N,  467W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  90, 528N,  408W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD,  96, 530N,  328W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 102, 524N,  238W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 108, 510N,  154W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 114, 489N,   82W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 120, 466N,   21W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 126, 445N,   32E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 132, 429N,   78E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 138, 417N,  120E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 144, 409N,  158E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABD, 150, 404N,  195E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,   0, 314N,  620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,   6, 325N,  629W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  12, 335N,  633W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  18, 343N,  636W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  24, 351N,  637W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  30, 359N,  635W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  36, 367N,  632W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  42, 376N,  627W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  48, 387N,  621W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  54, 401N,  612W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  60, 418N,  600W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  66, 440N,  585W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  72, 464N,  568W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  78, 490N,  546W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  84, 514N,  523W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  90, 533N,  496W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM,  96, 546N,  462W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM, 102, 556N,  418W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM, 108, 564N,  364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2021092406, 03, TABM, 114, 570N,  306W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
