AL, 03, 2021061300, RI, DTPE,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, DTPE,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, DTPE,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, DTPE,  72, 200N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, EIOB,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, EIOB,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOB,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOB,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOB,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOB,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, EIOB,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, EIOB,  72, 200N,  945W,   1,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, EIOC,  12, 200N,  945W,   1,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, EIOC,  24, 200N,  945W,   5,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOC,  24, 200N,  945W,   3,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOC,  24, 200N,  945W,   1,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOC,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOC,  36, 200N,  945W,   1,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, EIOC,  48, 200N,  945W,   1,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, EIOC,  72, 200N,  945W,   3,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, EIOD,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, EIOD,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOD,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOD,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOD,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOD,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, EIOD,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, EIOD,  72, 200N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, EIOL,  12, 200N,  945W,   3,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, EIOL,  24, 200N,  945W,  15,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOL,  24, 200N,  945W,   8,  30,  50,    ,            0,           24, 
