EP, 06, 2021071300, RI, EIOC,  12, 106N, 1049W,   1,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, EIOC,  24, 106N, 1049W,  15,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOC,  24, 106N, 1049W,   9,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOC,  24, 106N, 1049W,   2,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOC,  24, 106N, 1049W,   1,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOC,  36, 106N, 1049W,  14,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, EIOC,  48, 106N, 1049W,  25,  55,  80,    ,            0,           48, 
EP, 06, 2021071300, RI, EIOC,  72, 106N, 1049W,  15,  65,  90,    ,            0,           72, 
EP, 06, 2021071300, RI, EIOD,  12, 106N, 1049W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, EIOD,  24, 106N, 1049W,  17,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOD,  24, 106N, 1049W,  16,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOD,  24, 106N, 1049W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOD,  24, 106N, 1049W,   0,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOD,  36, 106N, 1049W,  16,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, EIOD,  48, 106N, 1049W,  15,  55,  80,    ,            0,           48, 
EP, 06, 2021071300, RI, EIOD,  72, 106N, 1049W,   0,  65,  90,    ,            0,           72, 
EP, 06, 2021071300, RI, EIOL,  12, 106N, 1049W,   3,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, EIOL,  24, 106N, 1049W,  18,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOL,  24, 106N, 1049W,  10,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOL,  24, 106N, 1049W,   6,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOL,  24, 106N, 1049W,   3,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOL,  36, 106N, 1049W,  25,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, EIOL,  48, 106N, 1049W,  60,  55,  80,    ,            0,           48, 
EP, 06, 2021071300, RI, EIOL,  72, 106N, 1049W,  45,  65,  90,    ,            0,           72, 
EP, 06, 2021071300, RI, RIOB,  12, 106N, 1049W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, RIOB,  24, 106N, 1049W,   3,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOB,  24, 106N, 1049W,   0,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOB,  24, 106N, 1049W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOB,  24, 106N, 1049W,   0,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOB,  36, 106N, 1049W,   0,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, RIOB,  48, 106N, 1049W,   0,  55,  80,    ,            0,           48, 
EP, 06, 2021071300, RI, RIOB,  72, 106N, 1049W,   0,  65,  90,    ,            0,           72, 
EP, 06, 2021071300, RI, RIOC,  12, 106N, 1049W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, RIOC,  24, 106N, 1049W,   8,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOC,  24, 106N, 1049W,   5,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOC,  24, 106N, 1049W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOC,  24, 106N, 1049W,   0,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOC,  36, 106N, 1049W,   6,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, RIOC,  48, 106N, 1049W,   8,  55,  80,    ,            0,           48, 
