AL, 05, 1856090100,   , BEST,   0, 330N,  816W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090106,   , BEST,   0, 340N,  796W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090112,   , BEST,   0, 347N,  779W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090118,   , BEST,   0, 355N,  753W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090200,   , BEST,   0, 363N,  728W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090206,   , BEST,   0, 368N,  700W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090212,   , BEST,   0, 372N,  673W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090218,   , BEST,   0, 377N,  646W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090300,   , BEST,   0, 382N,  618W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090306,   , BEST,   0, 388N,  586W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090312,   , BEST,   0, 390N,  560W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856090318,   , BEST,   0, 395N,  523W,  50,     , TS, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
